en,en_context,puj,latn_norm,han
fortune,to tell one's,khùaⁿ-miāⁿ,khuann3-miann7,財氣
fortune,to tell one's,sǹg-miāⁿ,sng3-miann7,財氣
fortune,to tell one's,chhê-sì-thiãu,chhe5-si3-thiau6,查四柱
fortune,to tell one's,sǹg-poih-jī,sng3-poih4-ji7,算八字
fortune,to tell one's,pok-khùe,pok4-khue3,財氣
fortune,teller,lo̍h ngóu-chheⁿ sin-seⁿ,loh8 ngou2-chhenn1 sin1-senn1,落五星先生
fortune,teller,khùaⁿ-miāⁿ sin-seⁿ,khuann3-miann7 sin1-senn1,看命先生
fortune,teller,chheⁿ-mêⁿ sin-seⁿ,chhenn1-menn5 sin1-senn1,青夜先生
fortune,to make one's,huat-tshâi,huat4-chhai5,財氣
forty,,sì-tsa̍p,si3-chap8,四十
forward,,hiàng-tsôiⁿ,hiang3-choinn5,向前
forward,go,chìn-tsôiⁿ,chin3-choinn5,進前
forward,go,kṳ̃n-tsôiⁿ,kurn6-choinn5,近前
forward,bent,hâu-ie,hau5-ie1,豪腰
forward,a letter,thòi-kià-sìn,thoi3-kia3-sin3,代寄信
forward,disposition,tōa-táⁿ,tua7-tann2,大膽
forward,disposition,bô-kui-kṳ́,bo5-kui1-kur2,無規矩
foster,,iáng,iang2,養
foster,,iáng-io̍k,iang2-iok8,養育
foster,,bú-iáng,bu2-iang2,武養
foster,,chhī-tōa,chhi7-tua7,飼大
foster,foster mother,iáng-bó,iang2-bo2,養母
foster,foster mother (wet-nurse),nîⁿ-bó,ninn5-bo2,年母
foster,foster son,iáng-kiáⁿ,iang2-kiann2,養囝
foster,foster son (the last three expressions must not be used in addressing the parties),mêng-lêng-kiáⁿ,meng5-leng5-kiann2,明靈囝
foul,,u-ùe,u1-ue3,污穢
foul,,nah-sap,nah4-sap4,垃圾
foul,,nah-sap-sièⁿ,nah4-sap4-sienn3,垃圾相
foul,wind,nge̍k-huang,ngek8-huang1,逆風
foul,wind,m̄-sũn-huang,m7-sun6-huang1,毋順風
foul,wind,tùi-thâu-huang,tui3-thau5-huang1,對頭風
foul,wind,tng-thâu-huang,tng1-thau5-huang1,當頭風
foul,wind,thêⁿ-thâu-huang,thenn5-thau5-huang1,庭頭風
foul,mouthed,tshou-tshùi,chhou1-chhui3,粗碎
foul,mouthed,tshou-tshò,chhou1-chho3,粗錯
foul,mouthed,ak-tshùi,ak4-chhui3,惡碎
foul,mouthed,ta̍k-tshùi,tak8-chhui3,毒碎
foul,mouthed,tshùi ak-ta̍k,chhui3 ak4-tak8,碎惡毒
found,a dynasty,khai-kok,khai1-kok4,開國
found,a dynasty,tshàng-kok,chhang3-kok4,創國
found,a dynasty,li̍p-chhiâu,lip8-chhiau5,立朝
found,metal,tsù-kim,chu3-kim1,鑄金
found,iron-foundry,tsù-thih-lôu,chu3-thih4-lou5,鑄鐵爐
foundation,of house,tī-kha,ti7-kha1,地骹
foundation,of house,ki-chí,ki1-chi2,地骹
foundation,of house,tī-ki,ti7-ki1,地骹
foundation,to lay,pàng-tī-kha,pang3-ti7-kha1,放地骹
foundation,to lay,kiẽn-tī-kha,kien6-ti7-kha1,建地骹
founder,,tîm-tsûn,tim5-chun5,沉船
founder,,huang phah-tiāu-tsûn,huang1 phah4-tiau7-chun5,風拍掉船
founder,,sái-khap--lo̍h-khṳ̀,sai2-khap4--loh8-khur3,使磕落去
foundling,hospital,io̍k-eng-tn̂g,iok8-eng1-tng5,育嬰堂
fountain,,tsûaⁿ,chuann5,泉
fountain,,tsúi-tsûaⁿ,chui2-chuann5,水泉
fountain,,tsûaⁿ-tsúi,chuann5-chui2,泉水
fountain,,ngûan-tsûaⁿ,nguan5-chuann5,源泉
fountain,,suaⁿ-tsûaⁿ,suann1-chuann5,山泉
fountain,,kheⁿ-tsûaⁿ,khenn1-chuann5,坑泉
fountain,,ngûan-thâu,nguan5-thau5,源頭
fountain,,pńg-ngûan,png2-nguan5,本源
four,,sì,si3,四
four,four-cornered,sì-kak,si3-kak4,四角
four,four-square,sì-pang,si3-pang1,四方
four,four-fold,sì-pũe,si3-pue6,四倍
fowl,,koi,koi1,雞
fowl,,chiáu,chiau2,鳥
fowl,water,tsúi-chiáu,chui2-chiau2,水鳥
fowl,domestic,koi,koi1,雞
fowl,to,lia̍h-chiáu,liah8-chiau2,掠鳥
fowl,to,phah-chiáu,phah4-chiau2,拍鳥
fowl,to,thi-chiáu,thi1-chiau2,治鳥
fowl,to,iap-chiáu,iap4-chiau2,壓鳥
fowl,to,siā-chiáu,sia7-chiau2,射鳥
fowl,fowling-piece,chiáu-chhèng,chiau2-chheng3,鳥銃
fox,,hôu-lâi,hou5-lai5,猴來
fox,,suaⁿ-káu,suann1-kau2,山狗
fraction,,lân-ló,lan5-lo2,攔老
fraction,,lân-tshùi,lan5-chhui3,攔嘴
fraction,,tshàm-tshùi,chham3-chhui3,懺嘴
fracture,,chi̍h,chih8,折
fracture,bone,chi̍h-kut,chih8-kut4,折骨
fragile,,nńg-jia̍k,nng2-jiak8,軟弱
fragile,,kōi-phùa,koi7-phua3,易破
fragile,,sou-sou,sou1-sou1,酥酥
fragrant,,phang,phang1,香
fragrant,,õi-phang,oi6-phang1,會香
fragrant,,chheng-hiang,chheng1-hiang1,清香
fragrant,sandal wood,hieⁿ-tshâ,hienn1-chha5,香柴
fragrant,plants,hieⁿ-tsháu,hienn1-chhau2,香草
fragrant,fragrance,hiang-khì,hiang1-khi3,香氣
frail,,iêⁿ-hue tsúi-sèⁿ,ienn5-hue1 chui2-senn3,洋花水姓
frail,,nńg-jia̍k,nng2-jiak8,軟弱
frail,,m̄-tōiⁿ,m7-toinn7,毋𠕆
frail,,m̄-kien-kù,m7-kien1-ku3,毋堅固
frame,,kè,ke3,架
frame,door,mn̂g-táu,mng5-tau2,門斗
frame,door,mn̂g-khuan,mng5-khuan1,門框
frame,door,mn̂g-khuang,mng5-khuang1,門框
France,,Tãi-huap-kok,tai6-huap4-kok4,大法國
France,,Huat-lân-se,huat4-lan5-se1,法蘭西
frankincense,,zú-hieⁿ,ju2-hienn1,乳香
frantic,,siáu,siau2,少
frantic,,tien-khûang,tien1-khuang5,顛狂
fraternal,,zû-hiaⁿ zû-tĩ,ju5-hiann1 ju5-ti6,如兄如弟
fraternal,a fraternity,hũe,hue6,會
fraternal,fraternise,pài-hũe,pai3-hue6,拜會
fraternal,fraternise,kau-tshap,kau1-chhap4,交插
fraud,,sai-chiàm,sai1-chiam3,使占
fraud,,khi-phièn,khi1-phien3,欺騙
fraud,,kuang-phièn,kuang1-phien3,光騙
fraud,,tsà,cha3,詐
fraud,,ngũi,ngui6,偽
fraud,,ké,ke2,假
fray,,tshàu-nãuⁿ,chhau3-naunn6,吵鬧
fray,,sie-jiáng,sie1-jiang2,相惹
fray,,jiáng-lāu-jie̍t,jiang2-lau7-jiet8,惹鬧熱
freak,,thèng-tsò thèng-ûi,theng3-cho3 theng3-ui5,聽做聽為
freckle,,seⁿ-tiám,senn1-tiam2,生點
freckle,,seⁿ-hue-tiám,senn1-hue1-tiam2,生花點
free,,tsṳ̃-iû,chur6-iu5,自由
free,,tsṳ̃-tsú,chur6-chu2,自主
free,,ka-kī õi-tsú-ì,ka1-ki7 oi6-chu2-i3,家己會主意
free,,tsṳ̃-tsãi,chur6-chai6,自在
free,from crime,bô-tsũe,bo5-chue6,無罪
free,choice,sûi-ì tsṳ̃-piẽn,sui5-i3 chur6-pien6,隨意自便
free,bond and,tsú-po̍k,chu2-pok8,主僕
free,to set,kiù,kiu3,救
free,to set,sek-pàng,sek4-pang3,釋放
free,to set,pàng-tshut,pang3-chhut4,放出
free,to set,pàng--nâng tsṳ̃-iû,pang3--nang5 chur6-iu5,放人自由
free,to set (ransom),so̍k-tshut,sok8-chhut4,贖出
free,freely (willingly),kam-sim,kam1-sim1,甘心
free,freely (willingly),chhêng-ngũan,chheng5-nguan6,情願
free,freely (willingly),huaⁿ-hí,huann1-hi2,歡喜
free,freely (willingly),kam-ngũan,kam1-nguan6,甘願
free,drink freely,sûi-piẽn chia̍h-chiú,sui5-pien6 chiah8-chiu2,隨便食酒
free,gratuitously,mién-chîⁿ,mien2-chinn5,免錢
free,gratuitously,mín-ēng-chîⁿ,min2-eng7-chinn5,免用錢
freebooter,,tãu-tsha̍t,tau6-chhat8,盜賊
freebooter,,tsha̍t-bé,chhat8-be2,賊馬
freeze,,kit-piaⁿ,kit4-piann1,結冰
freeze,,kit-piaⁿ-sng,kit4-piann1-sng1,結冰霜
freeze,,sêng-piaⁿ,seng5-piann1,成冰
freeze,as gravy or oil,kṳ̂n-tàng,kurn5-tang3,凍檔
freeze,to death,tàng-sí,tang3-si2,凍死
freeze,to death,kûaⁿ-sí,kuann5-si2,寒死
freight,,tsûn-tsou,chun5-chou1,船租
freight,a,che̍k-tsāi-hùe,chek8-chai7-hue3,一儎貨
freight,to,tah-hùe,tah4-hue3,搭貨
frequently,,ke-ke-hãng,ke1-ke1-hang6,家行限
frequently,,tsōi-tsōi-tshṳ̀,choi7-choi7-chhur3,㩼㩼次
frequently,,ē-ē,e7-e7,下下
frequently,,lú-lú,lu2-lu2,汝汝
frequently,,lú-tshṳ̀,lu2-chhur3,汝次
frequently,,siêⁿ-siêⁿ,sienn5-sienn5,常常
frequently,,sî-sî,si5-si5,時時
frequently,,kú-kú,ku2-ku2,久久
frequently,,chhiâng-chhiâng,chhiang5-chhiang5,常常
frequently,,múeⁿ-múeⁿ,muenn2-muenn2,每每
fresh,water,chiáⁿ-tsúi,chiann2-chui2,整水
fresh,fish,chhiⁿ-hṳ̂,chhinn1-hur5,鮮魚
fresh,fish,hṳ̂-chhiⁿ,hur5-chhinn1,魚鮮
fresh,new,sin,sin1,新
fresh,lively,ũ-sin-khì,u6-sin1-khi3,有新氣
fresh,taste,chhiⁿ-bī,chhinn1-bi7,鮮味
fresh,taste,chiáⁿ-bī,chiann2-bi7,整味
fret,fret (intransitive),iu-ut,iu1-ut4,憂鬱
fret,fret (intransitive),tsṳ̃-thàng,chur6-thang3,自歎
fret,fret (intransitive),tshoih,chhoih4,粭
fret,fret (intransitive),pui-tshoih,pui1-chhoih4,悲粭
fret,fret (intransitive),uàn-tshoih,uan3-chhoih4,怨嘈
fret,fret (child) (intransitive),e̍hⁿ-e̍hⁿ-kiè,ehnn8-ehnn8-kie3,軛軛叫
fret,fret (transitive),kek-sèⁿ,kek4-senn3,激性
fret,fret (transitive),kek-khì,kek4-khi3,激氣
friction,,chhiù,chhiu3,刷
friction,,bûa,bua5,磨
Friday,,lói-pài-ngõu,loi2-pai3-ngou6,禮拜五
Friday,,pài-ngõu,pai3-ngou6,拜五
friend,"(only used of men, never of women, except in bad sense)",phêng-iú,pheng5-iu2,朋友
friend,an old,kū-iú,ku7-iu2,朋友
friend,an old,kū-jîn,ku7-jin5,朋友
friend,very close,bhì-iú,bhi3-iu2,朋友
friend,very close,ba̍t-iú,bat8-iu2,朋友
friend,very close,hó-iú,ho2-iu2,朋友
friend,bosom-friend,sim-pak phêng-iú,sim1-pak4 pheng5-iu2,心腹朋友
friend,bosom-friend,ti-sim phêng-iú,ti1-sim1 pheng5-iu2,知心朋友
friend,bosom-friend,ti-kí,ti1-ki2,朋友
friend,acquaintance (but not intimate),kháu-thâu-iú,khau2-thau5-iu2,考頭友
friend,school or college friend,tâng-theng phêng-iú,tang5-theng1 pheng5-iu2,同窗朋友
friend,school or college friend,theng-iú,theng1-iu2,朋友
friend,companion,tâng-phũaⁿ,tang5-phuann6,朋友
friend,on friendly terms,siang-hó,siang1-ho2,朋友
friend,friendly treatment,kãu-thãi,kau6-thai6,朋友
friend,break off friendship,tso̍h-kau,choh8-kau1,朋友
frighten,,phièn-nâng-kiaⁿ,phien3-nang5-kiann1,騙人驚
frighten,,kiaⁿ-tie̍h-nâng,kiann1-tieh8-nang5,驚着人
frighten,by threats,kiaⁿ-heh,kiann1-heh4,驚嚇
frighten,frightened,kiaⁿ,kiann1,驚
frighten,to death,kiaⁿ-kàu-sí,kiann1-kau3-si2,驚到死
frighten,to death (also means very much frightened),kiaⁿ-sí,kiann1-si2,驚死
frighten,frightful,tshūa-nâng-kiaⁿ,chhua7-nang5-kiann1,娶人驚
frighten,frightful,kiaⁿ-sí-nâng,kiann1-si2-nang5,驚死人
frigid,,chhìn,chhin3,凊
frigid,heart,sim néⁿ,sim1 nenn2,心冷
frigid,heart,néⁿ-ì,nenn2-i3,冷意
frigid,manner,néⁿ-tãⁿ,nenn2-tann6,冷鄭
fringe,,chhiu,chhiu1,秋
frisk,thiàu-iak; kha thiàu,chhiú mõng,chhiu2 mong6,手舞
fritter,away time,tak-nn̄g-tiāu sî-hāu,tak4-nng7-tiau7 si5-hau7,點卵掉時候
frivolous,,khin-phû,khin1-phu5,輕浮
frivolous,,hàuⁿ-tsò bô-siang-kan sṳ̄,haunn3-cho3 bo5-siang1-kan1 sur7,好做無相干事
frivolous,matter,khin-sṳ̄,khin1-sur7,輕事
frivolous,matter,sòi-sṳ̄,soi3-sur7,細事
frivolous,matter,sié-khó-sṳ̄,sie2-kho2-sur7,小可事
frivolous,matter,bô-chhiet-iàu,bo5-chhiet4-iau3,無切要
frivolous,matter,bô-iàu-kín,bo5-iau3-kin2,無要緊
frivolous,matter,bô-siang-kan,bo5-siang1-kan1,無相干
frivolous,matter,bô-kàu tî-kò-khṳ̀,bo5-kau3 ti5-ko3-khur3,無到遲塊去
frizzle,,khek,khek4,刻
frizzle,,khek-khek,khek4-khek4,刻刻
frizzle,cause to,zuán-khek,juan2-khek4,轉刻
frog,,tsúi-koi,chui2-koi1,水雞
frog,,kap-pô,kap4-po5,蛤婆
frog,,kap-kiú,kap4-kiu2,水雞
frog,tadpole,kap-kiú-kuai,kap4-kiu2-kuai1,蛤九乖
frolic,,sńg,sng2,耍
frolic,,sie-sńg,sie1-sng2,相耍
frolic,,hì-sńg kâi-sṳ̄,hi3-sng2 kai5-sur7,戲耍个事
from,,tsṳ̃,chur6,自
from,,tshông,chhong5,從
from,,iû,iu5,由
from,from…to,iû,iu5,由
from,from…to,…kàu,…kau3,到
from,from…to,iû,iu5,由
from,from…to,…chì,…chi3,至
from,from…to,tsṳ̃,chur6,自
from,from…to,…chì,…chi3,至
from,from…to,tsṳ̃,chur6,自
from,from…to,…kàu,…kau3,到
from,Swatow is over three leagues from Ching-hai,Sùaⁿ-thâu lî Thêng-hái saⁿ-phòu-gūa lōu,suann3-thau5 li5 theng5-hai2 sann1-phou3-gua7 lou7,線頭離澄海三舖外路
from,home,bô-tõ,bo5-to6,無在
from,home,m̄-tõ,m7-to6,毋在
from,home,tshut-khṳ̀-kháu,chhut4-khur3-khau2,出去口
from,youth,tsṳ̃ iùⁿ-nîⁿ,chur6 iunn3-ninn5,自幼年
from,salute the brethren from me,thòi-uá mn̄g-hāu chèng-ūi hiaⁿ-tĩ,thoi3-ua2 mng7-hau7 cheng3-ui7 hiann1-ti6,代我問候正位兄弟
from,from avarice,tshut-tõ tham-sim,chhut4-to6 tham1-sim1,出在貪心
front,,tsôiⁿ-mīn,choinn5-min7,前面
front,,chiàⁿ-mīn,chiann3-min7,正面
front,,tsôiⁿ-pôiⁿ,choinn5-poinn5,前爿
front,door,thâu-mn̂g,thau5-mng5,頭門
front,door,tōa-mn̂g,tua7-mng5,大門
front,door,tsóng-mn̂g,chong2-mng5,總門
front,in front,tõ-mīn-tsôiⁿ,to6-min7-choinn5,在面前
front,in front,tõ-thâu-tsôiⁿ,to6-thau5-choinn5,在頭前
front,walk in front,kiâⁿ tõ-thâu-tsôiⁿ,kiann5 to6-thau5-choinn5,行在頭前
front,walk in front,thâu-soiⁿ-kiâⁿ,thau5-soinn1-kiann5,頭先行
front,stand opposite to,hiàng,hiang3,向
front,stand opposite to,niàⁿ,niann3,領
frontier,,tī-kài,ti7-kai3,地界
frontier,,kéng-kài,keng2-kai3,境界
frontier,,kài-hãn,kai3-han6,界限
frontier,,pien-kiang,pien1-kiang1,邊疆
frontier,,pien-kài,pien1-kai3,邊界
frontier,,piⁿ-kài,pinn1-kai3,邊界
frontier,,pien-thêng,pien1-theng5,邊庭
frontier,to watch the frontier,siú-pien,siu2-pien1,守邊
frontlet,,chiau-kun-ûi,chiau1-kun1-ui5,招軍圍
frontlet,,hia̍h-tsôiⁿ-ûi,hiah8-choinn5-ui5,額前圍
frontlet,,ou-kṳn-khou,ou1-kurn1-khou1,烏根箍
frost,,sng,sng1,霜
frost,and snow,sng-soh,sng1-soh4,霜雪
frost,hoar-frost,lo̍h-sng,loh8-sng1,落霜
frost,frost-bite,kûaⁿ-tàng,kuann5-tang3,寒凍
froth,,tshùi-nũaⁿ,chhui3-nuann6,喙涎
froth,,tshùi-phue̍h,chhui3-phueh8,碎沫
froth,,nũaⁿ-phue̍h,nuann6-phueh8,涎波
froth,,tsúi-phue̍h,chui2-phueh8,水波
froward,,hûeⁿ-nge̍k,huenn5-ngek8,橫逆
froward,,nguán-nge̍k,nguan2-ngek8,頑逆
froward,,nguán-ngẽ,nguan2-nge6,頑硬
frown,,náuⁿ-ma̍k,naunn2-mak8,鬧目
frown,,niàuⁿ-bâi,niaunn3-bai5,皺眉
frown,look at one with a,ma̍k kàng-kàng tõ-hîm--i,mak8 kang3-kang3 to6-him5--i1,目降降在熊伊
frown,expressing contempt and hatred by curling up the nose and frowning,niàuⁿ-bâi niàuⁿ-phīⁿ,niaunn3-bai5 niaunn3-phinn7,皺眉皺鼻
frown,expressing contempt and hatred by curling up the nose and frowning,ma̍k kàng-kàng tõ-hîm--i,mak8 kang3-kang3 to6-him5--i1,目降降在熊伊
frown,expression of anxiety,tshok-bâi,chhok4-bai5,觸眉
frown,expression of anxiety,ma̍k-bâi kat-kat,mak8-bai5 kat4-kat4,目眉結結
frown,expression of anxiety,bâi-thâu tshok-tshok,bai5-thau5 chhok4-chhok4,眉頭觸觸
frown,to draw one's eye-brows together in a kind of frown,bâi-thâu tièⁿ-tshok-tshok,bai5-thau5 tienn3-chhok4-chhok4,眉頭帳觸觸
frugal,,khiãm,khiam6,儉
frugal,,tsat-khiãm,chat4-khiam6,節儉
frugal,,khiãm-tsat,khiam6-chat4,儉節
frugal,,tsat-ēng,chat4-eng7,節用
frugal,,khiãm-ēng,khiam6-eng7,儉用
frugal,,iak-iak,iak4-iak4,約約
frugal,,séⁿ-iak,senn2-iak4,省約
frugal,,séⁿ,senn2,省
frugal,,khiãm-iak,khiam6-iak4,儉約
frugal,frugality is better than a large income,khiãm-chia̍h kiêⁿ-kùe-thàn,khiam6-chiah8 kienn5-kue3-than3,儉食強過趁
fruit,,kúeⁿ,kuenn2,果
fruit,,kúeⁿ-chí,kuenn2-chi2,果子
fruit,fresh,chheⁿ-kúeⁿ,chhenn1-kuenn2,青果
fruit,dried,kan-kúeⁿ,kan1-kuenn2,柑果
fruit,to bear,seⁿ-kúeⁿ,senn1-kuenn2,生果
fruit,to bear,kat-kúeⁿ,kat4-kuenn2,結果
fruit,to bear,kit-kúeⁿ,kit4-kuenn2,結果子
fruit,to bear,kat-si̍t,kat4-sit8,結實
fruit,to bear,kit-si̍t,kit4-sit8,結實
fruit,to pluck,tiah-kúeⁿ-chí,tiah4-kuenn2-chi2,摘果子
fruit,fruitful,õi-seⁿ,oi6-senn1,會生
fruit,fruitful,seⁿ-tsōi,senn1-choi7,生濟
fruit,fruitful,seⁿ-lâi-kãu,senn1-lai5-kau6,生來厚
fruit,fruitful season,nîⁿ-tang hó,ninn5-tang1 ho2,年冬好
fruit,fruitbearing,hó-kat-si̍t,ho2-kat4-sit8,好結實
fruit,fruitless,bõi-seⁿ,boi6-senn1,勿會生
fruit,fruitless (useless),bô-iah,bo5-iah4,無益
fruit,fruitless (useless),bô-ēng,bo5-eng7,無用
frustrate,,sái m̄-sêng-sṳ̄,sai2 m7-seng5-sur7,使毋成事
frustrate,,hāi m̄-sêng-sṳ̄,hai7 m7-seng5-sur7,害毋成事
frustrate,,gōu-sṳ̄ m̄-sêng,gou7-sur7 m7-seng5,誤事毋成
frustrate,a plot,phùa-kòi,phua3-koi3,破計
fry,with little or no fat (implies much stirring and turning over).,tshá,chha2,炒
fry,"with a little fat, and few turns",luah,luah4,烙
fry,with a little water and perhaps hat,chien,chien1,煎
fry,frying-pan,tiáⁿ-kiáⁿ,tiann2-kiann2,鼎囝
fry,frying-pan (shallow),chien-pûaⁿ,chien1-puann5,煎盤
fry,frying-pan (deeper),tiáⁿ,tiann2,鼎
fuel,,tshâ,chha5,柴
fuel,,mue̍h-hiâⁿ,mueh8-hiann5,物行
fuel,,tshâ-tsháu,chha5-chhau2,柴草
fuel,gather,khieh-mue̍h-hiâⁿ,khieh4-mueh8-hiann5,挈物燃
fuel,add,thiam-húe,thiam1-hue2,添火
fuel,add,thiam-tshâ,thiam1-chha5,添柴
fuel,add,lān-tshâ,lan7-chha5,爛柴
fuel,add,lān-tsháu,lan7-chhau2,爛草
fugitive,from justice,tô-tsũe,to5-chue6,逃罪
fugitive,from justice,tsáu-hũam,chau2-huam6,走犯
fugitive,from justice,i̍t-hũam,it8-huam6,逸犯
fugitive,from persecution,pĩ-nâng to̍k-tsáu,pi6-nang5 tok8-chau2,逼人逐走
fulfil,one's expectation,zû-mōⁿ,ju5-monn7,如望
fulfil,duty,chĩn-pńg-hūn,chin6-png2-hun7,盡本分
fulfil,duty,ûan-pńg-hūn,uan5-png2-hun7,完本分
fulfil,duty,chĩn-cheh,chin6-cheh4,盡節
fulfil,command,zû-mẽng,ju5-meng6,如命
fulfil,law,siú-huap,siu2-huap4,守法
fulfil,law,tsun-huap,chun1-huap4,遵法
fulfil,promise,zû-ieh,ju5-ieh4,如約
fulfil,promise,siú-ieh,siu2-ieh4,守約
fulfil,prediction,èng-ngiām,eng3-ngiam7,應驗
fulfil,prediction,hāu-ngiām,hau7-ngiam7,效驗
fulfil,prediction,teng-ngiām,teng1-ngiam7,證驗
fulfil,prayer,tsò-chiâⁿ,cho3-chiann5,做成
fulfil,prayer,èng-ngiām,eng3-ngiam7,應驗
fulfil,vows,hôiⁿ-ngūan,hoinn5-nguan7,還願
full,,múaⁿ,muann2,滿
full,,tĩⁿ,tinn6,漲
full,,pá,pa2,飽
full,full-grown,chiáng-sêng,chiang2-seng5,長成
full,full-grown,chiáng-tōa,chiang2-tua7,長大
full,full-grown,tōa—liáu,tua7—liau2,大了
fully,,tshûan,chhuan5,全
fully,,chĩn,chin6,盡
fully,,thàu,thau3,透
fully,,thàng,thang3,通
fully,,sêng,seng5,成
fully,,chiâⁿ,chiann5,成
fumble,in one's pocket,chiâm-tō,chiam5-to7,潛道
fumble,"about, as in the dark or blind person",mông-at,mong5-at4,蒙壓
fumble,"about, as in the dark or blind person",thèng-at,theng3-at4,挺壓
fumes,,khì,khi3,氣
fumes,,bī,bi7,味
fumigate,a room,phek-tiāu ùe-khì,phek4-tiau7 ue3-khi3,癖吊穢氣
fumigate,a room,hun-tiāu tshàu-khì,hun1-tiau7 chhau3-khi3,熏吊臭氣
fun,to make,sńg,sng2,耍
fun,to make,sie-sńg,sie1-sng2,相耍
fun,to make,chhiè-thâm,chhie3-tham5,笑貪
fun,funny,tshù-bī,chhu3-bi7,趣味
fun,funny,hó-chhiè,ho2-chhie3,好笑
fun,say anything in fun,tàⁿ-sńg,tann3-sng2,等耍
funds,,pńg-chîⁿ,png2-chinn5,本錢
funds,,bó-thâu,bo2-thau5,母頭
fundamental,,pńg,png2,本
fundamental,,kṳn-pńg,kurn1-png2,根本
fundamental,,pńg-ngûan,png2-nguan5,本元
fundamental,,pńg-iàu,png2-iau3,本要
fundamental,,pńg-bũ,png2-bu6,本務
fundamental,,tói-tsṳ́,toi2-chur2,底子
funeral,,sng-sṳ̄,sng1-sur7,喪事
funeral,attend a,sàng-tsǹg,sang3-chng3,送葬
funeral,attend a,sàng-kiũ,sang3-kiu6,送求
funeral,attend a,sàng-kuaⁿ-ba̍k chiẽⁿ-suaⁿ,sang3-kuann1-bak8 chienn6-suann1,送官目上山
fungus,,kou,kou1,菇
fungus,on trees,chhiū-kou,chhiu7-kou1,樹菇
fungus,on trees,chhiū-zṳ́,chhiu7-jur2,樹耳
fungus,on trees,ba̍k-zṳ́,bak8-jur2,目耳
fungus,edible,hieⁿ-kou,hienn1-kou1,香菇
fungus,covered with,seⁿ-kou,senn1-kou1,生菇
funnel,for pouring water,khuah-tshùi-làu,khuah4-chhui3-lau3,闊嘴漏
funnel,for liquor,chiú-hái,chiu2-hai2,酒海
funnel,of steamer,in-tâng,in1-tang5,煙筒
funnel,of steamer,húe-hun,hue2-hun1,火薰
funnel,of steamer,tâng,tang5,筒
fur,,môⁿ,monn5,毛
fur,furs,phûe,phue5,皮
fur,coat,phûe-niûⁿ,phue5-niunn5,皮茸
fur,long fur coat,phûe-tn̂g-niûⁿ,phue5-tng5-niunn5,皮長茸
furbish,,bûa-kng,bua5-kng1,磨光
furbish,as sword or knife,bûa-pe̍h,bua5-peh8,磨白
furbish,as sword or knife,bûa-kàu soh-soh-pe̍h,bua5-kau3 soh4-soh4-peh8,磨到索索白
furious,,hiông-méⁿ,hiong5-menn2,雄猛
furious,,khì kàu kuáng-kuáng-kiè,khi3 kau3 kuang2-kuang2-kie3,氣到廣廣叫
furious,,khì kàu thuh-thuh-kiè,khi3 kau3 thuh4-thuh4-kie3,氣到腯腯叫
furious,,khuâng-pãu,khuang5-pau6,狂暴
furl,as sail,kauh,kauh4,捲
furl,as sail,kauh-bûa,kauh4-bua5,捲磨
furl,as sail,kauh-khí,kauh4-khi2,捲起
furl,as sail,kńg-khí,kng2-khi2,卷起
furnace,,tsàu,chau3,灶
furnace,,lôu,lou5,爐
furnace,,lôu-tsàu,lou5-chau3,爐灶
furnace,,tsàu-lôu,chau3-lou5,灶爐
furnace,,huang-lôu,huang1-lou5,風爐
furnace,for refining gold,kim-lôu,kim1-lou5,金爐
furnace,for burning tiles,sie-hiã-iê,sie1-hia6-ie5,燒瓦窯
furnish,prepare,pĩ-phōiⁿ,pi6-phoinn7,備辦
furnish,provide,keng-kip,keng1-kip4,經急
furnish,provide,keng-ēng,keng1-eng7,經用
furnish,provide (by subscription),phài-kip,phai3-kip4,派急
furniture,,ke-si mue̍h-kiãⁿ,ke1-si1 mueh8-kiann6,家伙物件
furniture,,ke-húe,ke1-hue2,家伙
furniture,,tshn̂g-íⁿ,chhng5-inn2,床椅
furniture,of student,bûn-pâng sì-pó,bun5-pang5 si3-po2,文房四寶
furrow,,lôi-tsūe,loi5-chue7,犁罪
furrow,furrows,che̍k-nôiⁿ che̍k-nôiⁿ,chek8-noinn5 chek8-noinn5,一蓮一蓮
furrow,of the face,mīn-phûe-jiâu,min7-phue5-jiau5,面皮嬈
furrow,of the face,mīn jiâu-jiâu,min7 jiau5-jiau5,面嬈嬈
furrow,of the face,mīn seⁿ-hûn,min7 senn1-hun5,面生魂
further,,khuàng-chhiáⁿ,khuang3-chhiann2,況請
further,,siãng-chhiáⁿ,siang6-chhiann2,尙且
further,,lêng-gūa,leng5-gua7,另外
further,,lêng-ūaⁿ,leng5-uann7,另換
further,,huân-liáu,huan5-liau2,還了
further,,huân-iáu,huan5-iau2,還窈
fuse,metal,khan-lôu,khan1-lou5,牽爐
fuse,metal,khan-iêⁿ,khan1-ienn5,牽洋
fuse,fused,iêⁿ,ienn5,烊
fuse,and cast,tsù,chu3,鑄
fusee,,húe-lêng,hue2-leng5,火龍
fusee,(tinder),húe-hiāⁿ,hue2-hiann7,火艾
fuss,make a fuss about a small matter,sié-sṳ̄ tãng-pò,sie2-sur7 tang6-po3,小事動報
fuss,make a fuss about a small matter,khin-sṳ̄ tãng-khì,khin1-sur7 tang6-khi3,輕事動氣
fuss,make a fuss about a small matter,lo-sl,lo1-sl1,囉嗦
