puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,chi̍t siang tī,tsi̍t siang tī,,,,a pair of chopsticks,,一雙筷子,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siang chhiú,siang tshiú,,,,two hands,,雙手,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siang kha,siang kha,,,,feet,,雙腳,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siāng,siāng,,,,the same,,同,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siāng-khoán,siāng-khuán,,,,the same kind,,同樣,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siāng-lâng,siāng-lâng,,,,the same person,,同一個人,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siāng-sî,siāng-sî,,,,at the same time,,同時,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siáng,siáng,,,,Who?,,誰,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siang-siⁿ,siang-sinn,,,,twins,,雙生兒,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siⁿ siang-siⁿ,sinn siang-sinn,,,,to give birth to twins,,生雙生兒,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siat,siat,,,,to establish,,設,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siat-li̍p,siat-li̍p,,,,to establish,,設立,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siat-hoat,siat-huat,,,,"to find a way out, to establish a system for doing things",,設法,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siat-kè,siat-kè,,,,"to design, to plan",,設計,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siat-sú,siat-sú,,,,suppose,,假設、假使,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siàu-liân,siàu-liân,,,,young,,年輕、年少,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siàu-liân-lâng,siàu-liân-lâng,,,,a youth,,青年人,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siau-sit,siau-sit,,,,news,,消息,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siáu,siáu,,,,"crazy, crazy for",,瘋狂、迷,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,khí-siáu,khí-siáu,,,,"to be crazy, to be mad",,發狂,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siau-bia̍t,siau-bia̍t,,,,"extinction, to extinguish",,消滅,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siau-hòa,siau-huà,,,,to digest,,消化,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,ē siau-hòa ê mi̍h,ē siau-huà ê mi̍h,,,,digestible things,,易消化的東西,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,bē siau-hòa ê mi̍h,bē siau-huà ê mi̍h,,,,indigestible things,,不容易消化的東西,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siau-hông tūi,siau-hông tuī,,,,a fire brigade; fire department,,消防隊,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siau-to̍k,siau-to̍k,,,,"to disinfect, to sterlilze",,消毒,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siau-to̍k-chúi,siau-to̍k-tsuí,,,,antiseptic solution,,消毒水,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
