puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,tō͘-chiam,tōo-tsiam,,度針,,,,體溫計,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,thâu-khak,thâu-khak,,頭殼,,,,腦袋,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,pēⁿ-kiáⁿ,pēnn-kiánn,,病囝,,,,害喜,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,pīⁿ-kiáⁿ,pīnn-kiánn,,病囝,,,,害喜,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,bān-chhiáⁿ-sī,bān-tshiánn-sī,,慢且是,,,,慢一點,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,bān-chhiáⁿ-ī,bān-tshiánn-ī,,慢且是,,,,慢一點,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chah-sin-ji̍p-tiān-a̍p,tsah-sin-ji̍p-tiān-a̍p,,紮身入電盒,,,,行動電源,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kâu-gín-á,kâu-gín-á,,猴囡仔,,,,小屁孩,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Lí sī siáng,Lí sī siáng,,你是啥人,,,,你是誰,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,lù-khah,lù-khah,,鑢卡,,,,刷卡,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhit-hō-á,tshit-hō-á,,七號仔,,,,7-11,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,phùi-that-á,phuì-that-á,,屁窒仔,,,,小屁孩,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Ang--ê góa ài--lí,Ang--ê guá ài--lí,,翁的我愛你,,,,老公我愛你,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Thâu--ê góa ài--lí,Thâu--ê guá ài--lí,,頭的我愛你,,,,老公我愛你,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
