puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,poeh[白],pueh[白],,八,,,,八,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,to,to,,刀,,,,刀、小刀,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,tiau,tiau,,刁,,,,刁難、故意、為難、愚弄,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,la̍t[白],la̍t[白],,力,,,,力、力氣、力量,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,le̍k[文],li̍k[文],,力,,,,力、力量、作用,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p[白],tsa̍p[白],,十,,,,十,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,si̍p[文],si̍p[文],,十,,,,十,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,poh[替],poh[替],,卜,,,,卜,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pok,pok,,卜,,,,卜,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,iū,iū,,又,,,,又、再,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p-it-ko,tsa̍p-it-ko,,十一哥,,,,王老五、單身男子、單身漢,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,liáu-liáu,liáu-liáu,,了了,,,,白費、光光、完、明白、損失、窮盡、賠錢,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,--liáu-liáu,--liáu-liáu,,了了,,,,全都是,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lâng-lâng,lâng-lâng,,人人,,,,人人,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p-jī-hun,tsa̍p-jī-hun,,十二分,,,,十二分、足、非常、很、腳,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p-lī-hun,tsa̍p-lī-hun,,十二分,,,,十二分、足、非常、很、腳,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p-jī seⁿ-siùⁿ,tsa̍p-jī senn-siùnn,,十二生相,,,,十二生肖、各行各業,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p-lī siⁿ-siùⁿ,tsa̍p-lī sinn-siùnn,,十二生相,,,,十二生肖、各行各業,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,si̍p-jī-chí-tn̂g,si̍p-jī-tsí-tn̂g,,十二指腸,,,,十二指腸,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,si̍p-lī-chí-tn̂g,si̍p-lī-tsí-tn̂g,,十二指腸,,,,十二指腸,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
