puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,a-soaⁿ-á,a-suann-á,,,,mainlander (impolite),,外省人,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-sú-phí-lín,a-sú-phí-lín,,,,"aspirin, acetylsalicylic acid",,阿斯匹靈,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-tat-chí,a-tat-tsí,,,,"sago palm, Arenga pinnata",,砂糖椰子,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-tok-á,a-tok-á,,,,"foreigner (""pointed nose"", a nickname for foreigners in general)",,洋鬼子,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-tong,A-tong,,,,Adam,,亞當,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á,á,,,,"little, short, few (has the effect of changing M into N or Nsub)",,一點,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á,á,,,,"(something diminutive, occurring in the following patterns)",,子,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á,á,,,,N+a2 (see the respective noun),,子,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á,á,,,,chit8+M+a2 (see chit8) nng7+M+a2 (see nng7),,子,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á,á,,,,Nu+Nu+M+a2 (chit8-nng7-jit8-a2: about two days; gou7 lak8 jit8-a2: about six days),,子,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á,á,,,,hundred ([ji7-a2-sann]: two hundred thirty; [sann-a2-si3]: three hundred forty),,百,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á,á,,,,used to link alternative elements in an interrogative sentence) : …or…?,,或/或是,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á-né-á,á-né-á,,,,mother,,媽媽,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á-sī,á-sī,,,,"either, or",,或許,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á-tia,á-tia,,,,father,,公公,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á,á,,,,Oh!,,啊,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,á,á,,,,"(sf used to form a large number of Interjections) (khou-a3: Alas!, Chham2-a3: Alas! etc)",,啦,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,Ā-bēng,Ā-bīng,,,,End-of prayer marker: Amen,,阿們,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,à-pà,à-pà,,,,"head-strong, unreasonable",,蠻不講理,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,à-sèng,à-sìng,,,,"(given to Mencius, second only to Confucius)",,亞聖,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,â,â,,,,Ah! Aha! (surprise or suspicion),,咦,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,â-sâm,â-sâm,,,,dirty,,污穢,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,â-sâm,â-sâm,,,,dirt,,污穢,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ā,ā,,,,"also, and",,也,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ā-ná-beh ā-ná-m̄,ā-ná-beh ā-ná-m̄,,,,be half-hearted,,半推半就,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,aⁿ-aⁿ-háu,ann-ann-háu,,,,cry (like a baby),,啞啞叫,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,aⁿ-aⁿ-kiò,ann-ann-kiò,,,,cry (like a baby),,啞啞叫,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,áⁿ,ánn,,,,"shelter with one's body, brood",,擁,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,áⁿ,ánn,,,,adopt (a child),,(收)養,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,àⁿ,ànn,,,,"bend down, bow, stoop",,彎腰,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,âⁿ,ânn,,,,Ah! Aha! (surprise or suspicion),,咦,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,âⁿ,ânn,,,,"protect (child) from harm, intervene to protect",,保護,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,âⁿ,ânn,,,,"herd (ducks, etc), drive (fish into net)",,趕,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,âⁿ-cha̍h,ânn-tsa̍h,,,,intervene (on behalf of someone) in a fight or quarrel,,攔截(住),ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,āⁿ,ānn,,,,"filling (of pie, cake, etc)",,餡,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,āⁿ,ānn,,,,"shelter, cover",,遮蓋,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah,ah,,,,Oh!,,啊,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah,ah,,,,Final particle (indicating action complete),,啦,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah,ah,,,,"escort, guard, restrain",,押,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah,ah,,,,mark (the date on a document),,押,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah,ah,,,,agree (in rhyme),,押,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah,ah,,,,collateral,,押,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah,ah,,,,"force or compel (sthg to stay in place), curb",,抑制,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah,ah,,,,"press, oppress, repress",,壓,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah,ah,,,,"duck, drake",,鴨,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-bah,ah-bah,,,,duck meat,,鴨肉,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-bó,ah-bó,,,,duck (female),,母鴨,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-bó-le̍h,ah-bó-le̍h,,,,large rain-hat,,斗笠,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-bú-tôe,ah-bú-tuê,,,,flat feet,,平底腳,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-bó-tê,ah-bó-tê,,,,flat feet,,平底腳,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-bú,ah-bú,,,,duck (female),,母鴨,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-bú-chháu,ah-bú-tsháu,,,,"a kind of motherwort, Leonurus sibiricus",,鴨母草,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-bú-chháu,ah-bú-tsháu,,,,Lindernia ciliata,,鴨母草,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-bú-chhiū,ah-bú-tshiū,,,,"common schefflera, schefflera octophylla",,江某,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-bú-phàⁿ,ah-bú-phànn,,,,"common schefflera, schefflera octophylla",,江某,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-chè,ah-tsè,,,,inhibit,,抑制,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-chi̍h-chháu,ah-tsi̍h-tsháu,,,,"""duck's-tongue grass"", Manochoria vaginalis var. plantaginea",,鴨舌草,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-chi̍h-hông,ah-tsi̍h-hông,,,,Lindernia ciliata,,鴨舌黃,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-chi̍h-hông,ah-tsi̍h-hông,,,,Borreria hispida,,鴨舌黃,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-chi̍h-hông,ah-tsi̍h-hông,,,,Lippia nodiflora,,鴨舌黃,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-cho͘,ah-tsoo,,,,rental deposit,,押租,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-chhi̍h,ah-tshi̍h,,,,"crush down, press down",,壓,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-chhùi-hông,ah-tshuì-hông,,,,Lippia nodiflora,,鴨嘴箆黃,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-chhùi-poe-hông,ah-tshuì-pue-hông,,,,Lippia nodiflora,,鴨嘴箆黃,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-chhùi-môa,ah-tshuì-muâ,,,,"duckbill eel, any member of the genus Chlopsis",,鴨嘴鰻,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-hó͘,ah-hóo,,,,"Siberian peregrine falcon, Falco peregrinus leucogenys",,花梨隼,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-kang,ah-kang,,,,"drake, male duck",,雄鴨,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-kiān-tîn,ah-kiān-tîn,,,,"soap-bark vine, Entada phaseoloides",,台灣鴨腱藤,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
