puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source
chhie̍h,,,,席,,,,,,teochew.chars
chhie̍h,,,,蓆,,,,,,teochew.chars
chhieⁿ,,,,槍,,,,,,teochew.chars
chhieⁿ,,,,鯧,,,,,,teochew.chars
chhim,,,,深,,,,,,teochew.chars
chhin,,,,親,,,,,,teochew.chars
chhip,,,,緝,,,,,,teochew.chars
chhip,,,,輯,,,,,,teochew.chars
chhit,,,,七,,,,,,teochew.chars
chhit,,,,拭,,,,,,teochew.chars
chhit,,,,柒,,,,,,teochew.chars
chhiu,,,,初,,,,,,teochew.chars
chhiu,,,,揪,,,,,,teochew.chars
chhiu,,,,瞅,,,,,,teochew.chars
chhiu,,,,秋,,,,,,teochew.chars
chhiu,,,,鍬,,,,,,teochew.chars
chhiu,,,,鞦,,,,,,teochew.chars
chhiu,,,,鬚,,,,,,teochew.chars
chhiàng,,,,倡,,,,,,teochew.chars
chhiàng,,,,唱,,,,,,teochew.chars
chhiáng,,,,嗆,,,,,,teochew.chars
chhiáng,,,,廠,,,,,,teochew.chars
chhiáng,,,,敞,,,,,,teochew.chars
chhiáu,,,,俏,,,,,,teochew.chars
chhiáu,,,,嘲,,,,,,teochew.chars
chhiáu,,,,峭,,,,,,teochew.chars
chhiáu,,,,悄,,,,,,teochew.chars
chhiáu,,,,稍,,,,,,teochew.chars
chhiáⁿ,,,,且,,,,,,teochew.chars
chhiáⁿ,,,,請,,,,,,teochew.chars
chhiâm,,,,潛,,,,,,teochew.chars
chhiâm,,,,鑱,,,,,,teochew.chars
chhiâng,,,,場,,,,,,teochew.chars
chhiâng,,,,塲,,,,,,teochew.chars
chhiâng,,,,常,,,,,,teochew.chars
chhiâng,,,,爿,,,,,,teochew.chars
chhiâng,,,,畔,,,,,,teochew.chars
chhiâng,,,,腸,,,,,,teochew.chars
chhiâng,,,,薔,,,,,,teochew.chars
chhiâng,,,,長,,,,,,teochew.chars
chhiâu,,,,晁,,,,,,teochew.chars
chhiâu,,,,朝,,,,,,teochew.chars
chhiâu,,,,瞧,,,,,,teochew.chars
chhiâⁿ,,,,成,,,,,,teochew.chars
chhiè,,,,唱,,,,,,teochew.chars
chhiè,,,,笑,,,,,,teochew.chars
chhiè,,,,詔,,,,,,teochew.chars
chhién,,,,淺,,,,,,teochew.chars
chhiéⁿ,,,,搶,,,,,,teochew.chars
chhiêⁿ,,,,墻,,,,,,teochew.chars
chhiêⁿ,,,,牆,,,,,,teochew.chars
chhiù,,,,刷,,,,,,teochew.chars
chhiù,,,,漱,,,,,,teochew.chars
chhiú,,,,手,,,,,,teochew.chars
chhiú,,,,醜,,,,,,teochew.chars
chhiû,,,,仇,,,,,,teochew.chars
chhiû,,,,售,,,,,,teochew.chars
chhiû,,,,囚,,,,,,teochew.chars
chhiû,,,,酬,,,,,,teochew.chars
chhiēⁿ,,,,匠,,,,,,teochew.chars
chhiū,,,,樹,,,,,,teochew.chars
chhi̍h,,,,彳,,,,,,teochew.chars
chhiẽⁿ,,,,上,,,,,,teochew.chars
chhiẽⁿ,,,,像,,,,,,teochew.chars
chhiẽⁿ,,,,橡,,,,,,teochew.chars
chhiẽⁿ,,,,象,,,,,,teochew.chars
chhiⁿ,,,,鮮,,,,,,teochew.chars
chhè,,,,廁,,,,,,teochew.chars
chhèng,,,,稱,,,,,,teochew.chars
chhèng,,,,衝,,,,,,teochew.chars
chhèng,,,,襯,,,,,,teochew.chars
chhèng,,,,銃,,,,,,teochew.chars
chhé,,,,扯,,,,,,teochew.chars
chhéⁿ,,,,醒,,,,,,teochew.chars
chhê,,,,查,,,,,,teochew.chars
chhêng,,,,情,,,,,,teochew.chars
chhêng,,,,橙,,,,,,teochew.chars
chhì,,,,刺,,,,,,teochew.chars
chhì,,,,弒,,,,,,teochew.chars
chhì,,,,眥,,,,,,teochew.chars
chhì,,,,莿,,,,,,teochew.chars
chhì,,,,試,,,,,,teochew.chars
chhìm,,,,沁,,,,,,teochew.chars
chhìn,,,,凊,,,,,,teochew.chars
chhìn,,,,秤,,,,,,teochew.chars
chhí,,,,侈,,,,,,teochew.chars
chhí,,,,恥,,,,,,teochew.chars
chhí,,,,齒,,,,,,teochew.chars
chhím,,,,寢,,,,,,teochew.chars
chhî,,,,薺,,,,,,teochew.chars
chhî,,,,遲,,,,,,teochew.chars
chhî,,,,馳,,,,,,teochew.chars
chhî,,,,齊,,,,,,teochew.chars
chhîm,,,,侵,,,,,,teochew.chars
chhîm,,,,尋,,,,,,teochew.chars
chhîn,,,,秦,,,,,,teochew.chars
chhîn,,,,臣,,,,,,teochew.chars
chhîn,,,,陳,,,,,,teochew.chars
chhîⁿ,,,,尋,,,,,,teochew.chars
chhēng,,,,拴,,,,,,teochew.chars
chhēng,,,,穿,,,,,,teochew.chars
chhĩ,,,,市,,,,,,teochew.chars
chhī,,,,飼,,,,,,teochew.chars
chi,,,,脂,,,,,,teochew.chars
chi,,,,膣,,,,,,teochew.chars
chia,,,,遮,,,,,,teochew.chars
chiah,,,,脊,,,,,,teochew.chars
chiah,,,,跡,,,,,,teochew.chars
chiah,,,,隻,,,,,,teochew.chars
chiah,,,,雀,,,,,,teochew.chars
chiak,,,,勺,,,,,,teochew.chars
chiak,,,,嚼,,,,,,teochew.chars
chiak,,,,灼,,,,,,teochew.chars
chiak,,,,爵,,,,,,teochew.chars
chiak,,,,芍,,,,,,teochew.chars
chiak,,,,酌,,,,,,teochew.chars
chiam,,,,占,,,,,,teochew.chars
chiam,,,,尖,,,,,,teochew.chars
chiam,,,,漸,,,,,,teochew.chars
chiam,,,,瞻,,,,,,teochew.chars
chiam,,,,詹,,,,,,teochew.chars
chiam,,,,贍,,,,,,teochew.chars
chiang,,,,將,,,,,,teochew.chars
chiang,,,,張,,,,,,teochew.chars
chiang,,,,彰,,,,,,teochew.chars
chiang,,,,樟,,,,,,teochew.chars
chiang,,,,漳,,,,,,teochew.chars
chiang,,,,章,,,,,,teochew.chars
chiap,,,,接,,,,,,teochew.chars
chiau,,,,招,,,,,,teochew.chars
chiau,,,,昭,,,,,,teochew.chars
chiau,,,,朝,,,,,,teochew.chars
chiau,,,,焦,,,,,,teochew.chars
chiau,,,,礁,,,,,,teochew.chars
chiauh,,,,雀,,,,,,teochew.chars
chia̍h,,,,食,,,,,,teochew.chars
chia̍p,,,,捷,,,,,,teochew.chars
chia̍p,,,,洽,,,,,,teochew.chars
chia̍p,,,,睫,,,,,,teochew.chars
chiaⁿ,,,,晶,,,,,,teochew.chars
chiaⁿ,,,,正,,,,,,teochew.chars
chiaⁿ,,,,精,,,,,,teochew.chars
chiaⁿ,,,,腈,,,,,,teochew.chars
chie,,,,招,,,,,,teochew.chars
chie,,,,椒,,,,,,teochew.chars
chie,,,,蕉,,,,,,teochew.chars
chieh,,,,借,,,,,,teochew.chars
chieh,,,,質,,,,,,teochew.chars
chien,,,,濺,,,,,,teochew.chars
chien,,,,煎,,,,,,teochew.chars
chien,,,,箋,,,,,,teochew.chars
chien,,,,羶,,,,,,teochew.chars
chiet,,,,即,,,,,,teochew.chars
chiet,,,,卽,,,,,,teochew.chars
chiet,,,,浙,,,,,,teochew.chars
chiet,,,,節,,,,,,teochew.chars
chie̍h,,,,石,,,,,,teochew.chars
chieⁿ,,,,樟,,,,,,teochew.chars
chieⁿ,,,,漿,,,,,,teochew.chars
chieⁿ,,,,章,,,,,,teochew.chars
chih,,,,折,,,,,,teochew.chars
chih,,,,接,,,,,,teochew.chars
chih,,,,摺,,,,,,teochew.chars
chim,,,,唚,,,,,,teochew.chars
chim,,,,斟,,,,,,teochew.chars
