puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source
tsang,,,,鬃,,,,髮髻,,teochew.khau_sek
tsho,,,,臊,,,,腥,,teochew.khau_sek
tshoh,,,,錯,,,,嗆,,teochew.khau_sek
tshue,,,,炊,,,,蒸,,teochew.khau_sek
tshài-thâu,,,,菜頭,,,,白蘿蔔,,teochew.khau_sek
tshài-thâu-kháu,,,,菜頭槁,,,,(醃製)蘿蔔條,,teochew.khau_sek
tshãn-tūi,,,,羼隊,,,,插隊,,teochew.khau_sek
tshùn-chìn,,,,寸進,,,,進步,,teochew.khau_sek
tsng-ke,,,,桩家,,,,莊家,,teochew.khau_sek
tsàu-thâu,,,,灶頭,,,,灶台,,teochew.khau_sek
tsáu-khí,,,,早起,,,,起床,,teochew.khau_sek
tsò-chhit,,,,做七,,,,燒七,,teochew.khau_sek
tsò-kha-chhiú,,,,做骹手,,,,動手腳,,teochew.khau_sek
tsò-seⁿ-ji̍t,,,,做生日,,,,過生日,,teochew.khau_sek
tsò-tsoih,,,,做節,,,,過節,,teochew.khau_sek
tsô-thâu-ne̍k,,,,槽頭肉,,,,豬頭肉,,teochew.khau_sek
tsũi,,,,脧,,,,(男孩)生殖器,,teochew.khau_sek
tsūe,,,,襊,,,,褶皺,,teochew.khau_sek
tsṳ-niêⁿ,,,,諸娘,,,,女人,,teochew.khau_sek
tuah,,,,咄,,,,叱責,,teochew.khau_sek
tuaⁿ-teng,,,,單丁,,,,獨生子,,teochew.khau_sek
tá-tia̍p,,,,打疊,,,,折磨,,teochew.khau_sek
tá-tia̍p,,,,打揲,,,,折磨,,teochew.khau_sek
tâng-mn̂g,,,,同門,,,,連襟,,teochew.khau_sek
tò-ta̍h,,,,倒誻,,,,囉嗦,,teochew.khau_sek
tõng-kak,,,,動角,,,,手杖,,teochew.khau_sek
tūa-ke,,,,大家,,,,婆婆,,teochew.khau_sek
tūa-ke-kuaⁿ,,,,大家官,,,,公婆,,teochew.khau_sek
tūa-thâu-ló,,,,大頭腦,,,,大官員,,teochew.khau_sek
uan-ke,,,,冤家,,,,吵鬧,,teochew.khau_sek
uan-ke,,,,寃家,,,,吵鬧,,teochew.khau_sek
uang-khuk,,,,冤屈,,,,冤枉,,teochew.khau_sek
zuán-lôu,,,,暖爐,,,,火鍋,,teochew.khau_sek
à,,,,䛩,,,,爭辯,,teochew.khau_sek
à,,,,詏,,,,爭辯,,teochew.khau_sek
ám,,,,飲,,,,米湯,,teochew.khau_sek
ãm,,,,頷,,,,頸,,teochew.khau_sek
ãm-phuân,,,,頷幋,,,,圍巾,,teochew.khau_sek
ùi,,,,畏,,,,怕,,teochew.khau_sek
ńg,,,,䘼,,,,袖子,,teochew.khau_sek
ẽ-hâi,,,,下頦,,,,下巴,,teochew.khau_sek
