puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
pìn,Pin 3-,,,𩯭,,The hair on the temples.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,142
pìn,Pin 3-,,,遍,,See ../Pien/,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,142
pìn,Pin 3-,,,笓,,A comb; a bamboo rake; to lead; draw.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,142
pí,Pi 2,,,匕,,A spoon; a ladle.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,139
pí,Pi 2,,,比,,To compare; classify; collate; prepare.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,139
pí,Pi 2,,,妣,,A deceased mother; a female ancestor.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,139
pí,Pi 2,,,彼,,"That person, place, or thing; that; he.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,139
pín,Pin 2,,,品,,A series; rank; class; actions; conduct; to arrange; a thing.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,142
pín,Pin 2,,,禀,,To give; confer; receive; receive what is conferred; to state before a superior.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,142
pî,Pi -1,,,尼,,To pass wind backwards; contempt for a person.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,139
pî,Pi -1,,,琵,,To push from; name of a stringed instrument.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,139
pî,Pi -1,,,秕,,Blasted grain; tares; chaff or grain not filled.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,139
pî,Pi -1,,,痺,,A disease arising from damp.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,139
pî,Pi -1,,,脾,,The internal membrane of the stomach; to stop.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,139
pò,Pó 3-,,,報,,To reward; requite; a recompense; to inform.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,144
pòu,Po 3-,,,布,,Cotton or linen cloth; to spread out or abroad; diffuse.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,144
pó,Pó 2,,,保,,To feed; nourish; protect; to be surety for; to sustain.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,144
pó,Pó 2,,,堡,,A station for defence; a citadel; military post.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,144
pó,Pó 2,,,葆,,Luxuriant herbage; to shade; cover; tranquil.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,144
pó,Pó 2,,,褓,,A cloth to wrap up children or to carry them on the nurse's back.,A cloth to wrap up children or to carry them on the murse's back.,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,144
pó,Pó 2,,,寳,,A gem; precious; felicitous; a national seal.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,144
póng,Pong 2,,,抔,,"To take up in the palm of the hands, as water.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
póu,Po 2,,,脯,,Meat dried and preserved; flesh of any kind.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,143
póu,Po 2,,,斧,,An axe; hatchet.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,144
pông,Pong -1,,,𥭗,,A mat covering for a boat; a utensil for straining liquor.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
pông,Pong -1,,,篷,,"A mat for a boat cover, sail, tent &c.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
pông,Pong -1,,,蓬,,Name of an edible plant; luxuriant; in disorder.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
pông,Pong -1,,,縫,,To sew; to unite by a seam; a seam; fissure; cleft.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
pông,Pong -1,,,鬔,,Hair complicated and in disorder.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
põu,Po -3,,,部,,A genus; tribe; a book or set of books; a council; public court; board of officers.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,144
pùa,Pua 3-,,,播,,To sow; scatter; disseminate.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,146
pùa,Pua 3-,,,簸,,A sieve for throwing up and winnowing grain.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,146
pùaⁿ,Pⁿua 3-,,,半,,The half of anything; to divide in the middle.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,146
pùe,Pue 3-,,,背,,The back.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
pùe,Pue 3-,,,輩,,A company; sort; class; series; forms the plural.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
