puj,puj_proofread,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
tshut tsu; tshut tāu,chut cu; chut tāu,chut cu; chut tāu,,,,,have small-pox.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshut khî,chut khî,chut khî,,,,,surpasses belief.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
chiá chiũ tshut khî liáu,cía cĭu chut khî lío,cía cĭu chut khî lío,,,,,it is incredible.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshun thâu tshut lâi iám,chun thâu chut lâi íam,chun thâu chut lâi íam,,,,,stretched out his head and looked.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshut,chut,chut,,,齣,,A classifier of verses and plays.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
che̍k tshut khek,cêk chut khek,cêk chut khek,,,,,a ballad.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
che̍k tshut hì,cêk chut hì,cêk chut hì,,,,,a play.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
che̍k ji̍t tsò che̍k tshut tiāⁿ,cêk jît cò̤ cêk chut tīaⁿ,cêk jît cò̤ cêk chut tīaⁿ,,,,,they act only one play a day.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
hì tshut,hì chut,hì chut,,,,,plays.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
chí tshut sĩ i kâi siú hì,cí chut sĭ i kâi síu hì,cí chut sĭ i kâi síu hì,,,,,this is their chief play.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
"chiẽⁿ tshut tsò tie̍h seng-tùaⁿ, ẽ tshut tsò tie̍h lãu seng","cĭeⁿ chut cò̤ tîeh seng-tòaⁿ, ĕ chut cò̤ tîeh lău seng","cĭeⁿ chut cò̤ tîeh seng-tòaⁿ, ĕ chut cò̤ tîeh lău seng",,,,,"the first acts are performed by inexperienced performers, the later ones by their best actors.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ,chṳ,chṳ,,,舒,,To unroll; to open out; to expand; to disburden the mind; at ease; easy; comfortable; exhilarated.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshun-tshṳ,chun-chṳ,chun-chṳ,,,,,in good spirits; cheerful; comfortable; quite at ease.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
"uá thóiⁿ i kâi nâng tou m̄ tshun-tshṳ, sĩ ũ pēⁿ a m̄ sĩ?","úa thóiⁿ i kâi nâng to m̄ chun-chṳ, sĭ ŭ pēⁿ a m̄ sĭ?","úa thóiⁿ i kâi nâng to m̄ chun-chṳ, sĭ ŭ pēⁿ a m̄ sĭ?",,,,,"I see that he is not in good spirits, it is because he is not well is it not?",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
"i a-hiaⁿ kâi ke hūaⁿ khṳ̀ iáu tshun-tshṳ, i a-tĩ kâi ke hūaⁿ khṳ̀ iáu kek-tshok","i a-hiaⁿ kâi ke hūaⁿ khṳ̀ ío chun-chṳ, i a-tĭ kâi ke hūaⁿ khṳ̀ ío kek-chok","i a-hiaⁿ kâi ke hūaⁿ khṳ̀ ío chun-chṳ, i a-tĭ kâi ke hūaⁿ khṳ̀ ío kek-chok",,,,,"the elder brother's family is kept comfortably, the younger brother's family is pinched and straightened.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
"chiá thiⁿ-sî chièⁿ chhìn, i lãu nâng huân-liáu tshun-tshun tshṳ-tshṳ, bõi ùi chhìn","cía thiⁿ-sî cìeⁿ chìn, i lău nâng hŵn-lío chun-chun chṳ-chṳ, bŏi ùi chìn","cía thiⁿ-sî cìeⁿ chìn, i lău nâng hŵn-lío chun-chun chṳ-chṳ, bŏi ùi chìn",,,,,"though the weather is so severe, the old man is not at all discomforted by it, and does not dread the cold.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
pòu tshṳ-khui lâi thóiⁿ,pò chṳ-khui lâi thóiⁿ,pò chṳ-khui lâi thóiⁿ,,,,,open out the cloth that it may be seen.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
jī-uē tshṳ-khui khṳt i pha̍k,jī-ūe chṳ-khui khṳt i phâk,jī-ūe chṳ-khui khṳt i phâk,,,,,open out the scrolls and let them sun.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ,chṳ,chṳ,,,蛆,,Larvæ; very small maggots; festers which are supposed to be caused by maggots.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tsúi tshṳ,cúi chṳ,cúi chṳ,,,,,the larvæ of mosquitoes in water.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
khiâ tshṳ-phèⁿ khṳ̀ kou tshṳ lâi chhī kim-lí,khîa chṳ-phèⁿ khṳ̀ ko chṳ lâi chī kim-lí,khîa chṳ-phèⁿ khṳ̀ ko chṳ lâi chī kim-lí,,,,,take the cloth strainer and dip up some mosquito larvæ to feed the gold-fish.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tsúi khǹg kú seⁿ tshṳ,cúi khǹg kú seⁿ chṳ,cúi khǹg kú seⁿ chṳ,,,,,if water is kept long it produces mosquito larvæ.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
kha chìm kàu seⁿ tshṳ,kha cìm kàu seⁿ chṳ,kha cìm kàu seⁿ chṳ,,,,,his feet have been in the water so long that they have festered.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
chi̍h seⁿ tshṳ,cîh seⁿ chṳ,cîh seⁿ chṳ,,,,,has festers on his tongue.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
buah tshṳ,buah chṳ,buah chṳ,,,,,to anoint festers with salve.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ́,chṳ́,chṳ́,,,鼠,,"A rat, mouse, or squirrel.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
che̍k chiah niáu-tshṳ́,cêk ciah nío-chṳ́,cêk ciah nío-chṳ́,,,,,a rat.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
chie̍h-tshṳ́,cîeh-chṳ́,cîeh-chṳ́,,,,,field-mice.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshâng-tshṳ́,châng-chṳ́,châng-chṳ́,,,,,moles.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tiau-tshṳ́ kiáⁿ,tio-chṳ́ kíaⁿ,tio-chṳ́ kíaⁿ,,,,,sables.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
pue-tshṳ́,pue-chṳ́,pue-chṳ́,,,,,flying squirrels.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
niáu-tshṳ́ kiáⁿ,nío-chṳ́ kíaⁿ,nío-chṳ́ kíaⁿ,,,,,a young rat.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
chip-tshṳ́,cip-chṳ́,cip-chṳ́,,,,,a mouse.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
ngṳ̂n-tshṳ́,ngṳ̂n-chṳ́,ngṳ̂n-chṳ́,,,,,the ermine.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
hui-tshṳ́ phûe bé-kùa,hui-chṳ́ phûe bé-kùa,hui-chṳ́ phûe bé-kùa,,,,,a riding coat of squirrel skin.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
niáu-tshṳ́ hẽng,nío-chṳ́ hĕng,nío-chṳ́ hĕng,,,,,rat like; skulking.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
"tshṳ́ chhiap, káu thau","chṳ́ chiap, káu thau","chṳ́ chiap, káu thau",,,,,sly thieving.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
niáu-tshṳ́ búe chĩn chéng m̄ kiaⁿ sí nâng,nío-chṳ́ búe cĭn céng m̄ kiaⁿ sí nâng,nío-chṳ́ búe cĭn céng m̄ kiaⁿ sí nâng,,,,,"a mouse's tail, even when swelled to the utmost, is nothing to be much frightened at.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ́,chṳ́,chṳ́,,,此,,The thing in hand.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
"tshṳ́ nâng, tshṳ́ ji̍t, tshṳ́ sṳ̄","chṳ́ nâng, chṳ́ jît, chṳ́ sṳ̄","chṳ́ nâng, chṳ́ jît, chṳ́ sṳ̄",,,,,"the person, time, or matter under consideration.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
pí tshṳ́,pí chṳ́,pí chṳ́,,,,,that and this.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ́ téng nâng,chṳ́ téng nâng,chṳ́ téng nâng,,,,,this class of persons.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
m̄ hó kàu chí tshṳ́,m̄ hó̤ kàu cí chṳ́,m̄ hó̤ kàu cí chṳ́,,,,,do not let it come to this.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ́-tsãi,chṳ́-căi,chṳ́-căi,,,,,at present.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ́ khek,chṳ́ khek,chṳ́ khek,,,,,at this moment.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
íⁿ tshṳ́ ûi hō,íⁿ chṳ́ ûi hō̤,íⁿ chṳ́ ûi hō̤,,,,,take this as a label.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ̀,chṳ̀,chṳ̀,,,次,,Next; secondary; a time; a period.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ̀ tõiⁿ,chṳ̀ tŏ̤iⁿ,chṳ̀ tŏ̤iⁿ,,,,,a sequence.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ̀ sũ,chṳ̀ sŭ,chṳ̀ sŭ,,,,,in a regular order.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
ũ tshṳ̀ ũ sũ,ŭ chṳ̀ ŭ sŭ,ŭ chṳ̀ ŭ sŭ,,,,,there is a regular series.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
ũ tsâng-tshṳ̀,ŭ câng-chṳ̀,ŭ câng-chṳ̀,,,,,has gradations.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
thâu tshṳ̀,thâu chṳ̀,thâu chṳ̀,,,,,the first time.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
búe tshṳ̀,búe chṳ̀,búe chṳ̀,,,,,the last time.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
pàng tõ tī kâi ūi-tshṳ̀?,pàng tŏ̤ tī kâi ūi-chṳ̀?,pàng tŏ̤ tī kâi ūi-chṳ̀?,,,,,Where did you place it?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
kiâⁿ kàu chí kâi ūi-tshṳ̀ kha sng,kîaⁿ kàu cí kâi ūi-chṳ̀ kha sng,kîaⁿ kàu cí kâi ūi-chṳ̀ kha sng,,,,,having walked thus far my feet began to ache.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
che̍k tshṳ̀ tiāⁿ-tiāⁿ,cêk chṳ̀ tīaⁿ-tīaⁿ,cêk chṳ̀ tīaⁿ-tīaⁿ,,,,,only once.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
ke che̍k tshṳ̀,ke cêk chṳ̀,ke cêk chṳ̀,,,,,once more.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tī che̍k tshṳ̀?,tī cêk chṳ̀?,tī cêk chṳ̀?,,,,,Which time was it?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
jie̍h tsōi tshṳ̀?,jîeh cōi chṳ̀?,jîeh cōi chṳ̀?,,,,,How many times?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tsōi-tsōi tshṳ̀,cōi-cōi chṳ̀,cōi-cōi chṳ̀,,,,,a great many times.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
lṳ́ tsôiⁿ tshṳ̀ tsò-nî tàⁿ?,lṳ́ côiⁿ chṳ̀ cò̤-nî tàⁿ?,lṳ́ côiⁿ chṳ̀ cò̤-nî tàⁿ?,,,,,What did you say the first time?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
bô che̍k tshṳ̀ m̄-hó,bô̤ cêk chṳ̀ m̄-hó̤,bô̤ cêk chṳ̀ m̄-hó̤,,,,,it was right every time.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
"i iáu ke tshṳ̀, i iàu kiám tshṳ̀","i ío ke chṳ̀, i ìo kíam chṳ̀","i ío ke chṳ̀, i ìo kíam chṳ̀",,,,,"he has been more times, and she less.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ̀-tshṳ̀ lāu-jie̍t tsãi,chṳ̀-chṳ̀ lāu-jîet căi,chṳ̀-chṳ̀ lāu-jîet căi,,,,,there was much going on every time.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
"chí che̍k tshṳ̀ chiàⁿ khuan lṳ́, ẽ tshṳ̀ chiũ tsò m̄ tit","cí cêk chṳ̀ cìaⁿ khwn lṳ́, ĕ chṳ̀ cĭu cò̤ m̄ tit","cí cêk chṳ̀ cìaⁿ khwn lṳ́, ĕ chṳ̀ cĭu cò̤ m̄ tit",,,,,"this time you may be allowed to do so, but another time it will not be permitted.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
táng ẽ tshṳ̀,táng ĕ chṳ̀,táng ĕ chṳ̀,,,,,wait till next time.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
chiēⁿ tshṳ̀,cīeⁿ chṳ̀,cīeⁿ chṳ̀,,,,,the other time.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
màiⁿ tsãu-tshṳ̀,màiⁿ cău-chṳ̀,màiⁿ cău-chṳ̀,,,,,do not be flurried.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
chí che̍k kiãⁿ iáu tshṳ̀,cí cêk kĭaⁿ ío chṳ̀,cí cêk kĭaⁿ ío chṳ̀,,,,,this sort is inferior.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
"tshṳ̀ chîⁿ, tshṳ̀ ngṳ̂n","chṳ̀ cîⁿ, chṳ̀ ngṳ̂n","chṳ̀ cîⁿ, chṳ̀ ngṳ̂n",,,,,not first rate money.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,140
tshṳ̂,chṳ̂,chṳ̂,,,慈,,Mercy; compassionate; loving.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂ bó,chṳ̂ bó̤,chṳ̂ bó̤,,,,,a loving mother.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂ bó to pāi jî,chṳ̂ bó̤ to̤ pāi jî,chṳ̂ bó̤ to̤ pāi jî,,,,,indulgent mothers spoil their children.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂ sim,chṳ̂ sim,chṳ̂ sim,,,,,a compassionate heart.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂ ài,chṳ̂ ài,chṳ̂ ài,,,,,loving kindness.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂-pui,chṳ̂-pui,chṳ̂-pui,,,,,pity.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
jîn-tshṳ̂,jîn-chṳ̂,jîn-chṳ̂,,,,,compassion.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
ṳn-tshṳ̂,ṳn-chṳ̂,ṳn-chṳ̂,,,,,mercy.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
"pẽ tshṳ̂, tsṳ́ hàu","pĕ chṳ̂, cṳ́ hàu","pĕ chṳ̂, cṳ́ hàu",,,,,a gentle father has filial sons.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂,chṳ̂,chṳ̂,,,疵,,A defect; a blemish.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
siáu tshṳ̂,sío chṳ̂,sío chṳ̂,,,,,a petty defect.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshūe môⁿ khiû tshṳ̂,chūe mô̤ⁿ khîu chṳ̂,chūe mô̤ⁿ khîu chṳ̂,,,,,seek for defects under the fur; petty caviling at men's faults.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
chiá sǹg-sĩ siáu tshṳ̂,cía sǹg-sĭ sío chṳ̂,cía sǹg-sĭ sío chṳ̂,,,,,I reckon this a small defect.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
àiⁿ tshūe kàu tsn̂g kâi bô tshṳ̂ kâi sĩ chié,àiⁿ chūe kàu cn̂g kâi bô̤ chṳ̂ kâi sĭ cíe,àiⁿ chūe kàu cn̂g kâi bô̤ chṳ̂ kâi sĭ cíe,,,,,there are few to be found that are wholly without defect.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂,chṳ̂,chṳ̂,,,雌,,Weak; inferior.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂ hiông,chṳ̂ hîong,chṳ̂ hîong,,,,,the weaker and the stronger.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂ hiông kiàm,chṳ̂ hîong kìam,chṳ̂ hîong kìam,,,,,a pair of swords.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
lṳ́ uá lâi kìⁿ kâi tshṳ̂ hiông,lṳ́ úa lâi kìⁿ kâi chṳ̂ hîong,lṳ́ ua lâi kìⁿ kâi chṳ̂ hîong,,,,,let us see which of us is the stronger.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
i kâi uē tàⁿ kàu ũ tshṳ̂ ũ hiông,i kâi ūe tàⁿ kàu ŭ chṳ̂ ŭ hîong,i kâi ūe tàⁿ kàu ŭ chṳ̂ ŭ hîong,,,,,his language varies much in force.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
bô tshṳ̂ bô hiông,bô̤ chṳ̂ bô̤ hîong,bô̤ chṳ̂ bô̤ hîong,,,,,does not modulate the force.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂,chṳ̂,chṳ̂,,,磁,,Crockery.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂ khì,chṳ̂ khì,chṳ̂ khì,,,,,crockery ware.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳ̂ chie̍h,chṳ̂ cîeh,chṳ̂ cîeh,,,,,a natural magnet.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshṳh,chṳh,chṳh,,,俯,,To stoop; to bend.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
i tshṳh lo̍h khṳ̀ iám,i chṳh lô̤h khṳ̀ íam,i chṳh lô̤h khṳ̀ íam,,,,,she bent down and peeped in.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
thâu tshṳh-tshṳh lí-kuán kiâⁿ,thâu chṳh-chṳh lí-kẃn kîaⁿ,thâu chṳh-chṳh lí-kẃn kîaⁿ,,,,,walked right on with head bent down.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
"i tshut ji̍p tou sĩ thâu tshṳh-tshṳh, bô thóiⁿ nâng","i chut jîp to sĭ thâu chṳh-chṳh, bô̤ thóiⁿ nâng","i chut jîp to sĭ thâu chṳh-chṳh, bô̤ thóiⁿ nâng",,,,,"he goes out and in with his head hung down, and looks at nobody.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuan,chwn,chwn,,,撩,,To tickle; to titillate.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
"i tó u̍t, i soh tiâu tsúa-ang-teng khṳ̀ tshuan i kâi phīⁿ-khang, uàⁿ chē, iū khie̍h koi-môⁿ khṳ̀ tshuan i kâi hĩⁿ-khang","i tó̤ ût, i so̤h tîo cúa-ang-teng khṳ̀ chwn i kâi phīⁿ-khang, ùaⁿ cē, īu khîeh koi-mô̤ⁿ khṳ̀ chwn i kâi hĭⁿ-khang","i tó̤ ût, i so̤h tîo cúa-ang-teng khṳ̀ chwn i kâi phīⁿ-khang, ùaⁿ cē, īu khîeh koi-mô̤ⁿ khṳ̀ chwn i kâi hĭⁿ-khang",,,,,"when she is sleeping, he rolls up a lamp-lighter and goes and tickles her nostril, and a little later he gets a feather and goes and tickles her ear.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuan i chhéⁿ khí lâi,chwn i chéⁿ khí lâi,chwn i chéⁿ khí lâi,,,,,woke him up by tickling him lightly.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuan,chwn,chwn,,,穿,,To pervert; to turn aside.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
khah tshuan-tsha̍k,khah chwn-châk,khah chwn-châk,,,,,too much perverted from the original truth.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
sĩ tó tshuan-tsha̍k kâi,sĭ tó̤ chwn-châk kâi,sĭ tó̤ chwn-châk kâi,,,,,it is being perverted.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuan-suaⁿ-kah,chwn-suaⁿ-kah,chwn-suaⁿ-kah,,,,,the ant-eater.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
peh pōu tshuan iâng,peh pō chwn îang,peh pō chwn îang,,,,,a hundred paces off.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
nâng kâi pâng lãi m̄ hó thèng tshuan ji̍p khṳ̀,nâng kâi pâng lăi m̄ hó̤ thèng chwn jîp khṳ̀,nâng kâi pâng lăi m̄ hó̤ thèng chwn jîp khṳ̀,,,,,do not without evident reason go into people's private rooms.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuan,chwn,chwn,,,川,,A rivulet.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
suaⁿ tshuan,suaⁿ chwn,suaⁿ chwn,,,,,mountain streams.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuan liû put sek,chwn lîu put sek,chwn lîu put sek,,,,,an uninterrupted flow.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuán,chẃn,chẃn,,,喘,,To pant.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
hm̄-hm̄-tshuán,hm̄-hm̄-chẃn,hm̄-hm̄-chẃn,,,,,asthmatic breathing.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
kiâⁿ kàu chí-kò lâi tó tshuán,kîaⁿ kàu cí-kò̤ lâi tó̤ chẃn,kîaⁿ kàu cí-kò̤ lâi tó̤ chẃn,,,,,coming here has put me out of breath.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuán che̍k kùa bõi hiah,chẃn cêk kùa bŏi hiah,chẃn cêk kùa bŏi hiah,,,,,panted a half day without stopping.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuàn,chẁn,chẁn,,,閂,,A cross-pin; to join by a cross-pin.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
àm tshuàn,àm chẁn,àm chẁn,,,,,joined by a hidden pin.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuàn tõ hṳ́ pùe-ãu,chẁn tŏ̤ hṳ́ pùe-ău,chẁn tŏ̤ hṳ́ pùe-ău,,,,,joined by a cross-pin on the back.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
pùe-ãu tsò saⁿ ki tshuàn,pùe-ău cò̤ saⁿ ki chẁn,pùe-ău cò̤ saⁿ ki chẁn,,,,,make three cross bars on the back.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
àiⁿ ēng kúi kò lâi tshuàn a sĩ àiⁿ ēng kàu kò kâi?,àiⁿ ēng kúi kò̤ lâi chẁn a sĭ àiⁿ ēng kàu kò̤ kâi?,àiⁿ ēng kúi kò̤ lâi chẁn a sĭ àiⁿ ēng kàu kò̤ kâi?,,,,,"Do you wish to make it by joining several pieces with a bar mortised in, or to make it of a single piece?",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
"kang-hu hó kâi, tshuàn khṳ̀ chiàⁿ nãi","kang-hu hó̤ kâi, chẁn khṳ̀ cìaⁿ năi","kang-hu hó̤ kâi, chẁn khṳ̀ cìaⁿ năi",,,,,"make it with joints well fitted, and mortise in a bar through the pieces, then it will last.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuàn,chẁn,chẁn,,,串,,To lace together; to join by stringing on; to league.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
tshuàn phàu,chẁn phàu,chẁn phàu,,,,,a string of fire-crackers.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,141
